,job_titles,companies,company_ratings,locations,post_dates,Salary,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Machine Learning,Data Mining/Analytics,Visualisation,Big Data,AWS Cloud,Jason,xml,Azure,Google Cloud,IBM,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,project_management,leadership,consulting
69,"Data Scientist, Artificial Intelligence",Lululemon,4.2,"Vancouver, BC",7 days ago,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
70,Data scientist,Koïos Intelligence,,"Montréal, QC",30+ days ago,,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,"Manager, Data Science",Aviva,3.9,"Markham, ON",1 day ago,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
72,Machine Learning-Full-Time Summer- Internship,Prepr,3.0,"Toronto, ON",Today,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Senior Product Data Scientist,Coffee Meets Bagel,,"Toronto, ON",7 days ago,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
74,Data Scientist (Senior Economist),Farm Credit Canada,4.4,"Regina, SK",15 days ago,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,Scientifique des données et appliqué/ Data & Applied Scientist,Microsoft,4.2,"Montréal, QC",28 days ago,,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
76,NLP Data Scientist,Arteria AI,,"Toronto, ON",11 days ago,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
77,"Data Scientist, Supply Chain/Customer Profitability",Staples Canada,3.6,"Richmond Hill, ON",1 day ago,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Data Scientist,Guestlogix,2.8,Remote,30+ days ago,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
79,"Data Scientist, Artificial Intelligence",Lululemon,4.2,"Vancouver, BC",7 days ago,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
80,"Developer, Data Science",Bell Canada,3.9,"Mississauga, ON",Today,,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
81,Data Scientist,Thinking Capital,3.2,"Ottawa, ON",14 days ago,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Machine Learning-Full-Time Summer- Internship,Prepr,3.0,"Toronto, ON",Today,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"Data Scientist, Marketing & Web Analytics",Prodigy Game,4.6,,30+ days ago,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Data Scientist,CGI Inc,3.6,"Sherbrooke, QC",4 days ago,,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
